filename,width,height,class,xmin,ymin,xmax,ymax
ManilaBay_0021d0_jpg.rf.9d15ff395fde6578276ef7c8a90000b0.jpg,640,640,plastic_waste,496,163,629,272
ManilaBay_0021d0_jpg.rf.9d15ff395fde6578276ef7c8a90000b0.jpg,640,640,styrofoam_waste,34,362,352,638
ManilaBay_0021d0_jpg.rf.9d15ff395fde6578276ef7c8a90000b0.jpg,640,640,plastic_waste,475,381,634,504
ManilaBay_0021d0_jpg.rf.9d15ff395fde6578276ef7c8a90000b0.jpg,640,640,plastic_waste,227,258,321,414
ManilaBay_0021d0_jpg.rf.ecaf67177adad805b20de44ac2e7485a.jpg,640,640,plastic_waste,370,14,479,147
ManilaBay_0021d0_jpg.rf.ecaf67177adad805b20de44ac2e7485a.jpg,640,640,styrofoam_waste,4,290,281,608
ManilaBay_0021d0_jpg.rf.ecaf67177adad805b20de44ac2e7485a.jpg,640,640,plastic_waste,138,8,261,167
ManilaBay_0021d0_jpg.rf.ecaf67177adad805b20de44ac2e7485a.jpg,640,640,plastic_waste,228,322,384,416
ManilaBay_0021d0_jpg.rf.efa8038cdc060a2b19a54a4e93a8ef3b.jpg,640,640,plastic_waste,163,14,272,147
ManilaBay_0021d0_jpg.rf.efa8038cdc060a2b19a54a4e93a8ef3b.jpg,640,640,styrofoam_waste,362,290,638,608
ManilaBay_0021d0_jpg.rf.efa8038cdc060a2b19a54a4e93a8ef3b.jpg,640,640,plastic_waste,381,8,504,167
ManilaBay_0021d0_jpg.rf.efa8038cdc060a2b19a54a4e93a8ef3b.jpg,640,640,plastic_waste,258,322,414,416
ManilaBay_0060f72bde_jpg.rf.29dad7bdc70adcb9833e74ffbf654525.jpg,640,640,plastic_waste,306,332,430,439
ManilaBay_0060f72bde_jpg.rf.3d882cd8d527a433677481d458800c72.jpg,640,640,plastic_waste,212,332,336,439
ManilaBay_0060f72bde_jpg.rf.b69a1633fa3068fdfc13d65025e3e29c.jpg,640,640,plastic_waste,203,306,310,430
ManilaBay_00973dd3c1_jpg.rf.329fd18490d46c17eb692e10a2e7e399.jpg,640,640,plastic_waste,470,441,503,552
ManilaBay_00973dd3c1_jpg.rf.329fd18490d46c17eb692e10a2e7e399.jpg,640,640,plastic_waste,204,382,250,442
ManilaBay_00973dd3c1_jpg.rf.329fd18490d46c17eb692e10a2e7e399.jpg,640,640,plastic_waste,272,109,329,198
ManilaBay_00973dd3c1_jpg.rf.6faab99ebeebc5e3ca867707888444b0.jpg,640,640,plastic_waste,441,470,552,503
ManilaBay_00973dd3c1_jpg.rf.6faab99ebeebc5e3ca867707888444b0.jpg,640,640,plastic_waste,382,204,442,250
ManilaBay_00973dd3c1_jpg.rf.6faab99ebeebc5e3ca867707888444b0.jpg,640,640,plastic_waste,109,272,198,329
ManilaBay_00973dd3c1_jpg.rf.dc900beac7d9be9b128eb8e614e62218.jpg,640,640,plastic_waste,91,139,202,172
ManilaBay_00973dd3c1_jpg.rf.dc900beac7d9be9b128eb8e614e62218.jpg,640,640,plastic_waste,200,392,260,438
ManilaBay_00973dd3c1_jpg.rf.dc900beac7d9be9b128eb8e614e62218.jpg,640,640,plastic_waste,444,313,534,371
ManilaBay_00c3183_jpg.rf.4607d34d05045a148614e9166608a78b.jpg,640,640,plastic_waste,250,228,453,606
ManilaBay_00c3183_jpg.rf.5e4f3e94a8150d6c4d2925a16cf98245.jpg,640,640,plastic_waste,250,36,453,414
ManilaBay_00c3183_jpg.rf.d516396416a134daf0354813aa37971f.jpg,640,640,plastic_waste,228,189,606,392
ManilaBay_010a981_jpg.rf.1d986f9aab8d864d391e9b3456881b12.jpg,640,640,plastic_waste,372,425,523,554
ManilaBay_010a981_jpg.rf.1dcb66d27973f81281b3f8ead306f2eb.jpg,640,640,plastic_waste,424,372,554,523
ManilaBay_010a981_jpg.rf.9a6f5c2470b3fcff1234f0126f35431d.jpg,640,640,plastic_waste,425,120,554,271
ManilaBay_011b98b_jpg.rf.9856c4cb4bd5eadf42c8e09e3dad3727.jpg,640,640,plastic_waste,169,191,384,565
ManilaBay_011b98b_jpg.rf.9b637d60abc67b827e1fc47683880daf.jpg,640,640,plastic_waste,191,169,565,384
ManilaBay_011b98b_jpg.rf.d6cd5b657b2c2de92db0b920bf91c1e4.jpg,640,640,plastic_waste,169,77,384,451
ManilaBay_0130c30_jpg.rf.1d28014c978658447dc822de0fe0461b.jpg,640,640,plastic_waste,1,27,331,449
ManilaBay_0130c30_jpg.rf.6649f8d6ba09467cb821dfc06cc7b740.jpg,640,640,plastic_waste,311,193,641,615
ManilaBay_0130c30_jpg.rf.b7d8da2e7c81ca1bdd2a5c5cfc17c92b.jpg,640,640,plastic_waste,27,1,449,331
ManilaBay_0177288_jpg.rf.6474f2da090ce5750cc254163695c059.jpg,640,640,rubber_waste,176,163,622,442
ManilaBay_0177288_jpg.rf.783ffaa7f4c5c5810c07d0d5d38eb5e0.jpg,640,640,rubber_waste,176,163,622,442
ManilaBay_0177288_jpg.rf.85a5ceaa6bc7a2afca59477393d4deff.jpg,640,640,rubber_waste,20,163,466,442
ManilaBay_019ebe9_jpg.rf.0e9034d5dcd011af58f7a673fb20b20f.jpg,640,640,rubber_waste,143,70,503,612
ManilaBay_019ebe9_jpg.rf.3e98616aa6319317237f4884e61d674c.jpg,640,640,rubber_waste,70,143,612,503
ManilaBay_019ebe9_jpg.rf.42f5290fd9e6109af20002c8b889f0c7.jpg,640,640,rubber_waste,70,143,612,503
ManilaBay_01b1d6_jpg.rf.14017b7845f91386bee23c3a8dae18ce.jpg,640,640,styrofoam_waste,60,120,406,484
ManilaBay_01b1d6_jpg.rf.7c49ae9b804769ea084816f6c94611c2.jpg,640,640,styrofoam_waste,121,60,484,406
ManilaBay_01b1d6_jpg.rf.7f905d72dea65e930fb755bcd822351c.jpg,640,640,styrofoam_waste,121,237,484,583
ManilaBay_01c7f8e29_jpg.rf.61a83028f26032dcc83ab66f98292faa.jpg,640,640,plastic_waste,292,86,428,204
ManilaBay_01c7f8e29_jpg.rf.a3372788b9efce4528858c2f1a2fbd64.jpg,640,640,plastic_waste,214,438,350,556
ManilaBay_01c7f8e29_jpg.rf.d5f6e7177da92c3ebeb1affad18db27e.jpg,640,640,plastic_waste,214,438,350,556
ManilaBay_01cbb0c_jpg.rf.061a48567ec960d5f03c1711dadc1eed.jpg,640,640,rubber_waste,92,66,528,571
ManilaBay_01cbb0c_jpg.rf.3cc011ef5184c35416b2fc1a4a345d11.jpg,640,640,rubber_waste,72,92,577,528
ManilaBay_01cbb0c_jpg.rf.b1425503eaa46f2c4c6fd40cfc75b8bb.jpg,640,640,rubber_waste,66,115,571,551
ManilaBay_01eec2148f_jpg.rf.18bc6ca19de23dc0b4af6563874cd83d.jpg,640,640,wood_waste,161,296,529,336
ManilaBay_01eec2148f_jpg.rf.18bc6ca19de23dc0b4af6563874cd83d.jpg,640,640,wood_waste,269,459,318,641
ManilaBay_01eec2148f_jpg.rf.18bc6ca19de23dc0b4af6563874cd83d.jpg,640,640,wood_waste,186,1,225,70
ManilaBay_01eec2148f_jpg.rf.7c3edda44fd6277059b6ed469b2ca7b7.jpg,640,640,wood_waste,113,296,481,336
ManilaBay_01eec2148f_jpg.rf.7c3edda44fd6277059b6ed469b2ca7b7.jpg,640,640,wood_waste,325,459,374,641
ManilaBay_01eec2148f_jpg.rf.7c3edda44fd6277059b6ed469b2ca7b7.jpg,640,640,wood_waste,417,1,456,70
ManilaBay_01eec2148f_jpg.rf.809c02b3131ecc3704fd2e2317795011.jpg,640,640,wood_waste,306,161,346,529
ManilaBay_01eec2148f_jpg.rf.809c02b3131ecc3704fd2e2317795011.jpg,640,640,wood_waste,1,269,183,318
ManilaBay_01eec2148f_jpg.rf.809c02b3131ecc3704fd2e2317795011.jpg,640,640,wood_waste,572,186,641,225
ManilaBay_020c37a052_jpg.rf.c8667cbaa83036ab83371edc1dfdc19e.jpg,640,640,plastic_waste,201,155,412,387
ManilaBay_020c37a052_jpg.rf.ca779b42edefbcf0f95cb0326c60bfc5.jpg,640,640,plastic_waste,155,230,387,442
ManilaBay_020c37a052_jpg.rf.d5b48e3131f92afb691fa979c60d5c29.jpg,640,640,plastic_waste,255,231,487,442
ManilaBay_022ddc8_jpg.rf.276d8fd10e717451de0109692648da3a.jpg,640,640,plastic_waste,333,54,523,192
ManilaBay_022ddc8_jpg.rf.276d8fd10e717451de0109692648da3a.jpg,640,640,plastic_waste,35,399,129,511
ManilaBay_022ddc8_jpg.rf.f42a722b6e1ae2c484caf9ea4924e67a.jpg,640,640,plastic_waste,119,54,309,192
ManilaBay_022ddc8_jpg.rf.f42a722b6e1ae2c484caf9ea4924e67a.jpg,640,640,plastic_waste,513,399,607,511
ManilaBay_022ddc8_jpg.rf.f9f83ca76869fa8b7ec2afe4e17608aa.jpg,640,640,plastic_waste,54,333,192,523
ManilaBay_022ddc8_jpg.rf.f9f83ca76869fa8b7ec2afe4e17608aa.jpg,640,640,plastic_waste,399,35,511,129
ManilaBay_0231a9f42_jpg.rf.856f5875840da9ed83a6cbae95cbf9fa.jpg,640,640,plastic_waste,82,40,425,332
ManilaBay_0231a9f42_jpg.rf.903ad76624f174a456ae37546339ccb5.jpg,640,640,plastic_waste,82,40,425,332
ManilaBay_0231a9f42_jpg.rf.fb32e7c4e961570b4aa3e00997296f09.jpg,640,640,plastic_waste,40,217,332,561
ManilaBay_0264bf_jpg.rf.0770cbc52e32ced4d222f85aaee834a6.jpg,640,640,plastic_waste,466,467,514,524
ManilaBay_0264bf_jpg.rf.0770cbc52e32ced4d222f85aaee834a6.jpg,640,640,plastic_waste,308,468,399,591
ManilaBay_0264bf_jpg.rf.0770cbc52e32ced4d222f85aaee834a6.jpg,640,640,wood_waste,28,136,510,472
ManilaBay_0264bf_jpg.rf.26055be0e05b32bb50b8daf2cb599aa4.jpg,640,640,plastic_waste,466,467,514,524
ManilaBay_0264bf_jpg.rf.26055be0e05b32bb50b8daf2cb599aa4.jpg,640,640,plastic_waste,308,468,399,591
ManilaBay_0264bf_jpg.rf.26055be0e05b32bb50b8daf2cb599aa4.jpg,640,640,wood_waste,28,136,510,472
ManilaBay_0264bf_jpg.rf.7b6994f2b5a357610245b960fc36831e.jpg,640,640,plastic_waste,128,467,176,524
ManilaBay_0264bf_jpg.rf.7b6994f2b5a357610245b960fc36831e.jpg,640,640,plastic_waste,244,468,335,591
ManilaBay_0264bf_jpg.rf.7b6994f2b5a357610245b960fc36831e.jpg,640,640,wood_waste,132,136,614,472
ManilaBay_029e7ffa8_jpg.rf.5623a02b677a4b322a37f0db9bad350d.jpg,640,640,plastic_waste,83,329,527,596
ManilaBay_029e7ffa8_jpg.rf.d3909580f670348a2fd31816a969c8c8.jpg,640,640,plastic_waste,47,83,314,527
ManilaBay_029e7ffa8_jpg.rf.e1c56f84c490d57e0fcb2154bcce39f4.jpg,640,640,plastic_waste,115,47,559,314
ManilaBay_029e87c_jpg.rf.5fdc374790a17ab59c053cd4a40074b4.jpg,640,640,plastic_waste,248,322,356,382
ManilaBay_029e87c_jpg.rf.d9a82efbfa9c307289c25bc8282793c1.jpg,640,640,plastic_waste,260,248,320,356
ManilaBay_029e87c_jpg.rf.e2a54b496a6f591047b4eba362a2ec45.jpg,640,640,plastic_waste,260,248,320,356
ManilaBay_02f84f772_jpg.rf.1911476724576c2d37c269b54b3c0312.jpg,640,640,plastic_waste,30,345,388,641
ManilaBay_02f84f772_jpg.rf.56a139971916cc52aa6f7dbb247fcb6e.jpg,640,640,plastic_waste,254,1,612,297
